,nome,preco
0,Body Splash Aquavibe Refrescante Lavanda - 300ml, 23.99
1,Body Splash Aquavibe Refrescantes Pretty Blue - 1L, 44.90
2,Body Splash Aquavibe Lavanda - 1L, 44.90
3,Body Splash Aquavibe Refrescantes Jabuticaba - 300ml, 23.99
4,Body Splash Aquavibe Refrescantes Coco e Abacaxi - 300ml, 23.99
5,Body Splash Aquavibe Refrescantes Pretty Blue - 300ml, 23.99
6,Body Splash Aquavibe Refrescantes Baby Smell - 300ml, 23.99
7,Musk Storm Body Splash - 90ml, 11.00
8,Musk Titanium Body Splash - 90ml, 12.39
9,Musk Freeze Body Splash - 90ml, 23.99
10,Musk Intense Body Splash - 90ml, 23.99
11,Aquavibe Refrescantes Chypre Body Splash - 1L, 34.89
12,Musk Fresh Body Splash - 90ml, 23.99
13,Colônia Desodorante Body Splash Musk Storm - 90ml, 12.39
14,Musk Air Body Splash - 90ml, 23.99
15,Body Splash Aquavibe Refrescantes Chypre - 300ml,0.0
16,Musk Marine Body Splash - 90ml,0.0
