,nome,preco
0,Shampoo Controle de Queda Advance Techniques - 300 ml, 19.99
1,Shampoo e Condicionador 2 em 1 Naturals Cabelo Suavidade e Força 750 ml, 29.99
2,Shampoo Cachos Fabulosos Advance Techniques - 300 ml, 19.99
3,Shampoo Naturals Cabelo Hidratação e Vitalidade 750ml, 29.99
4,Shampoo 2 em 1 Avon Care Baby - 750ml, 49.99
5,Shampoo Nutrição Completa Advance Techniques - 300 ml, 19.99
6,Shampoo Naturals Cabelo Força e Hidratação - 750 ml, 22.69
7,Shampoo Naturals Cabelo Nutrição e Brilho 750ml, 29.99
8,Shampoo Avon Care Baby 2 em 1 - 200ml, 25.99
9,015 Shampoo Cabelo e Corpo - 90ml, 12.99
10,Black Essential Shampoo - 200ml, 16.99
11,Exclusive Shampoo Cabelo e Corpo - 90ml, 16.99
12,Shampoo cabelo e corpo 300 KM/h Quantum - 90ml, 18.99
13,Advance Techniques Shampoo Anticaspa 2 em 1 - 300 ml, 19.99
14,Shampoo Cachos Fabulosos Advance Techniques - 750ml, 31.99
15,Shampoo Cabelo e Corpo Attraction Desire for Him - 90ml, 18.99
16,Shampoo L.O.L  - 200ml, 14.99
17,Shampoo e Condicionador 2 em 1 Princesas - 750ml, 21.29
18,Shampoo para Cabelo e Corpo Marvel Avengers 200ml, 8.79
19,Black Essential Intense Shampoo Cabelo e Corpo - 90ml, 16.99
20,015 Miami Nights Shampoo Cabelo e Corpo - 90ml, 12.99
21,Avengers Shampoo e Condicionador 2 em 1 200ml, 7.50
22,Minnie Shampoo 200ml, 14.99
23,Avon Mickey Mouse & Friends Shampoo e Condicionador 2 em 1, 14.99
24,V for Victory Shampoo para Cabelo e Corpo - 90ml, 16.99
25,Shampoo Anticaspa 2 em 1 Advance Techniques - 300 ml,0.0
26,Shampoo Nutrição Completa Advance Techniques - 750 ml,0.0
27,Shampoo Ultra Liso Advance Techniques - 300 ml,0.0
28,Shampoo Reconstrução Extrema Advance Techniques - 300 ml,0.0
29,Shampoo Brilho Extraordinário Advance Techniques - 300 ml,0.0
30,Shampoo Cabelo e Corpo Absolute by Exclusive - 90ml,0.0
31,Shampoo Segno Cabelo e Corpo - 90 ml,0.0
32,Black Essential Dark Shampoo Cabelo e Corpo - 90ml,0.0
33,Attraction Sensation Shampoo Cabelo e Corpo - 90ml,0.0
