,nome,preco(R$)
4,"Shampoo Fyo Profissional Cachos Naturais e Definidos, 300 ml", 24.56
5,"Shampoo Fyo Profissional Liso Prolongado, 300 ml", 24.56
6,"Shampoo Fyo Profissional Reconstrução Pós-Química Alisados ou Tingidos, 300 ml", 24.56
7,"Shampoo Fyo Profissional Hidratação Profunda 8 Óleos Esplendidos, 300 ml", 24.56
8,Shampoo Fyo Detox Antirresíduo 300 ml, 24.56
9,"Shampoo Sensi Equilibrio e Leveza, 250 ml", 13.52
10,Shampoo a Seco Fyo Profissional Renovação Instantânea 150 ml, 22.02
11,"Shampoo Fyo Profissional Reparação Nutritiva, 300 ml", 24.56
12,Shampoo Fyo Brilho Gloss 300 ml, 18.62
13,"Shampoo Fyo Profissional DD Cream, 300 ml", 24.56
14,Shampoo Hello Kitty 100 ml, 11.82
15,"Shampoo Cabelo E Corpo Malte Amber, 75 ml", 14.36
16,Shampoo Matizador Fyo Pós-Química Loiro Radiante 300 ml, 24.56
17,"Shampoo Fyo Profissional Longos e Fortes, 300 ml", 24.56
3,Shampoo Meu Bebê Fofinho 200 ml, 16.06
4,Shampoo Barbie 100 ml, 16.92
5,"Shampoo da Cabeca aos Pés Meu Bebe Sorriso, 200 ml", 22.02
6,Shampoo Meu Bebê 200 ml, 22.02
7,"Shampoo League Justice, 150 ml", 19.46
3,"Kit Shampoo e Condicionador Fyo Brilho Gloss, 2 un", 39.90
4,"Kit de Shampoo e Condicionador Sensi Hidratacao e Maciez, i2 un", 31.80
5,"Kit Shampoo e Condicionador Fyo Brilho Gloss, 6 un", 149.94
6,"Kit de Shampoo e Condicionador Sensi Equilibrio e Leveza, 2 un", 31.80
7,"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 2 un", 39.90
8,"Kit Shampoo e Condicionador Fyo Profissional Longos e Fortes, 2 un", 39.90
9,"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 3 un", 64.90
10,"Kit Shampoo e Condicionador Fyo Profissional Longos e Fortes, 6 un", 114.90
11,"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 6 un", 114.90
12,"Kit Shampoo e Condicionador Fyo Profissional Reconstrução Pós-Química Alisados ou Tingidos, 2 un", 39.90
13,"Kit Shampoo e Condicionador Fyo  Profissional Reconstrução Pós-Química Alisados Ou Tingidos, 3 un", 64.90
14,"Kit Shampoo e Condicionador Fyo Profissional Reconstrução Pós-Química Alisados ou Tingidos, 6 un", 149.94
15,"Kit Meu Bebê, 1 un", 67.92
16,"Kit Meu Bebê Sorriso, 3 un", 68.70
17,"Kit Cabelos Fyo Profissional Reparação Nutritiva, 3 un", 59.90
18,"Kit Portiolli Gold, 3 un", 38.16
19,"Kit Barbie Girl Power, 4 un", 59.90
20,"Kit Meu Bebê Sorriso, 4 un", 109.90
22,"Kit Banho Meu Bebê, 6 un", 116.90
23,"Kit Justice League, 4 un", 66.90
24,Kit Completo Fyo Pós-Quimica Loiro Radiante (3 Produtos), 61.40
