nome,preco
Patricia Abravanel Intenso Desodorante Colônia Feminina 100 ml,"R$ 110,42"
"Batom Cremoso Ellas Candy Rosa, 3,5 g","R$ 8,42"
"Shampoo Sensi Hidratacao e Maciez, 250 ml","R$ 13,52"
Sabonete Hidratante Em Barra Sensi Sortidos 5X 90G 5 x 90 g,"R$ 19,46"
Sabonete Hidratante em Barra Sensi Leite 90 g,"R$ 2,72"
"Sabonete Hidratante em Barra Sensi Mix de Óleos, 90 g","R$ 2,72"
Sabonete Hidratante em Barra Sensi Verbena 90 g,"R$ 3,57"
Sabonete Líquido Corporal Sensi 200 ml,"R$ 21,16"
Sabonete em Barra Meu Bebê 2x90 g,"R$ 16,06"
"Sabonete Líquido Hidratante Para As Mãos Com Todo Amor E Carinho, 250 ml","R$ 42,42"
Sabonete Hidratante Em Barra Eu Tattoo Liberdade 4x 90 g,"R$ 21,90"
Sabonete Hidratante em Barra Sensi Algodão 90 g,"R$ 3,40"
"Sabonete Hidratante em Barra Sensi Leite de Coco e Baunilha Jequiti, 5x 90 g","R$ 18,62"
Sabonete Hidratante em Barra Sensi Esfoliação Renovadora 90 g,"R$ 3,57"
Sabonete Hidratante em Barra Rebeca Abravanel 3x50 g,"R$ 16,06"
Sabonete Hidratante em Barra Sensi Leite  5x90 g,"R$ 18,62"
"Sabonete Líquido Corporal Vida + Amor Flor De Amora, 60 ml","R$ 12,90"
Sabonete Líquido Hidratante Para as Mãos Sensi 220 ml,"R$ 20,32"
Sabonete Líquido Íntimo Feminino Sensi Neutro 200 ml,"R$ 28,82"
Sabonete Hidratante em Barra Sensi Leite de Amendoas 90 g,"R$ 3,40"
Sabonete Hidratante em Barra Sensi Leite de Coco e Baunilha  90 g,"R$ 3,40"
Sabonete Hidratante em Barra Sensi Algodão  5x90 g,"R$ 18,62"
"Sabonete Hidratante em Barra Eu Desejo Frutas Vermelhas, 4 x 90 g","R$ 20,32"
"Sabonete Hidratante em Barra Eu Provoco Morangos com Champagne, 4 x 90 g","R$ 20,32"
"Sabonete Hidratante Em Barra Eu Arraso, 4 x 90 g","R$ 24,90"
"Sabonete Hidratante em Barra Eu Conquisto Vanilla, 4 x 90 g","R$ 20,32"
"Sabonete Hidratante em Barra Eu Desperto Blackberry com Açúcar, 4 x 90 g","R$ 20,32"
Sabonete Líquido Íntimo 3 Em 1 Sensi Flor De Lótus 200 ml,"R$ 21,16"
Sabonete Hidratante Em Barra Justice League 2X80 g,"R$ 17,76"
"Sabonete Hidratante em Barra Eu Quero Pistache, 4x 90g","R$ 20,32"
"Estojo Sabonete Com Todo Amor E Carinho, 4 x 70 g","R$ 21,16"
"Estojo Sabonete Meu Bebê Sorriso, 3 x 90 g","R$ 19,46"
Caixa com 5 Sabonetes Hidratantes em Barra Sensi Leite de Amêndoas 5x90 g,"R$ 18,62"
Caixa com 4 Sabonetes Hidratantes Em Barra Eu Desperto Blackberry Com Açucar 4X90g,"R$ 20,32"
Caixa com 3 Sabonetes Hidratantes em Barra Vida + Amor Flor de Amora 3X90 g,"R$ 18,62"
