nome,preco
Patricia Abravanel Intenso Desodorante Colônia Feminina 100 ml,"R$ 110,42"
"Lápis Para Olhos Ellas Kajal 1, 2 g","R$ 16,06"
"Shampoo Sensi Hidratacao e Maciez, 250 ml","R$ 13,52"
"Kit Shampoo e Condicionador Fyo Brilho Gloss, 2 un","R$ 39,90"
"Kit de Shampoo e Condicionador Sensi Hidratacao e Maciez, i2 un","R$ 31,80"
"Kit Shampoo e Condicionador Fyo Brilho Gloss, 6 un","R$ 149,94"
"Kit de Shampoo e Condicionador Sensi Equilibrio e Leveza, 2 un","R$ 31,80"
"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 2 un","R$ 39,90"
"Kit Shampoo e Condicionador Fyo Profissional Longos e Fortes, 2 un","R$ 39,90"
"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 3 un","R$ 64,90"
"Kit Shampoo e Condicionador Fyo Profissional Longos e Fortes, 6 un","R$ 114,90"
"Kit Shampoo e Condicionador Fyo Profissional Liso Prolongado, 6 un","R$ 114,90"
"Kit Shampoo e Condicionador Fyo Profissional Reconstrução Pós-Química Alisados ou Tingidos, 2 un","R$ 39,90"
"Kit Shampoo e Condicionador Fyo  Profissional Reconstrução Pós-Química Alisados Ou Tingidos, 3 un","R$ 64,90"
"Kit Shampoo e Condicionador Fyo Profissional Reconstrução Pós-Química Alisados ou Tingidos, 6 un","R$ 149,94"
"Kit Meu Bebê, 1 un","R$ 67,92"
"Kit Meu Bebê Sorriso, 3 un","R$ 68,70"
"Kit Cabelos Fyo Profissional Reparação Nutritiva, 3 un","R$ 59,90"
"Kit Portiolli Gold, 3 un","R$ 38,16"
"Kit Barbie Girl Power, 4 un","R$ 59,90"
"Kit Meu Bebê Sorriso, 4 un","R$ 109,90"
"Kit Meu Bebê, 1 un","R$ 89,90"
"Kit Banho Meu Bebê, 6 un","R$ 116,90"
"Kit Justice League, 4 un","R$ 66,90"
Kit Completo Fyo Pós-Quimica Loiro Radiante (3 Produtos),"R$ 61,40"
